,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
198,Contents,http://www.sciencedirect.com/science/article/pii/S0755498213007835/pdfft?md5=62bb845d20688d2b30bff86cccf1cce3&pid=1-s2.0-S0755498213007835-main.pdf,10.1016/S0755-4982(13)00783-5,11/30/13,La Presse MÃ©dicale,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Imaging,37200
199,Literature review,http://www.sciencedirect.com/science/article/pii/088862969090461N/pdfft?md5=40246c943911d21656d2c683f148e598&pid=1-s2.0-088862969090461N-main.pdf,10.1016/0888-6296(90)90461-N,2/28/90,Journal of Cardiothoracic Anesthesia,CANNOT GET ACCESS,,Blood loss,Neutrophils,22336
200,"Etomidate Versus Ketamine, Disaster Triage",http://www.sciencedirect.com/science/article/pii/S1067991X09003125/pdfft?md5=c2960a3e21e7d9db835148cab0605a6d&pid=1-s2.0-S1067991X09003125-main.pdf,10.1016/j.amj.2009.10.004,2/28/10,Air Medical Journal,Daniel Hankins,Research article,Hemorrhagic shock,(NO),232702
201,Complete Mesh Expulsion as a Complication of Vaginally Assisted Laparoscopic Cervicosacropexy with Subtotal Hysterectomy: A Case Report,http://www.sciencedirect.com/science/article/pii/S1553465008011333/pdfft?md5=d6bc97393b71ea21ee005e7c2403c550&pid=1-s2.0-S1553465008011333-main.pdf,10.1016/j.jmig.2008.11.010,3/31/09,Journal of Minimally Invasive Gynecology,Olivier Donnez & Jean Squifflet & Pascale Jadoul & Jacques Donnez,Research article,Blood loss,Neutrophils,19421
202,Outcome of radiation therapy for patients with Kasabach-Merritt syndrome,http://www.sciencedirect.com/science/article/pii/S0360301697001405/pdfft?md5=4b2641d7f7ae4d96424e9c38572f2863&pid=1-s2.0-S0360301697001405-main.pdf,10.1016/S0360-3016(97)00140-5,9/1/97,International Journal of Radiation Oncology*Biology*Physics,Norio Mitsuhashi & Masaya Furuta & Hideyuki Sakurai & Takeo Takahashi & Hideo Niibe,Research article,Disseminated intravascular coagulation,Platelet count,300761
203,Safety of Thoracic Aortic Surgery in the Present Era,http://www.sciencedirect.com/science/article/pii/S0003497507011034/pdfft?md5=94f8e300f601821d8d20d9839f0db54c&pid=1-s2.0-S0003497507011034-main.pdf,10.1016/j.athoracsur.2007.05.038,10/31/07,The Annals of Thoracic Surgery,Hardean E. Achneck & John A. Rizzo & Maryann Tranquilli & John A. Elefteriades,Research article,Blood loss,Neutrophils,20797
204,Combined Inguinal Hernia Repair With Prosthetic Mesh During Transperitoneal Robot Assisted Laparoscopic Radical Prostatectomy: A 4-Year Experience,http://www.sciencedirect.com/science/article/pii/S0022534707014255/pdfft?md5=44804a4597f90b1f2351189bb9f6dea9&pid=1-s2.0-S0022534707014255-main.pdf,10.1016/j.juro.2007.05.154,10/31/07,The Journal of Urology,David S. Finley & Esequiel Rodriguez & Thomas E. Ahlering,Research article,Blood loss,Neutrophils,18856
205,Blowout Fracture of the Orbit: In the absence of diplopia and enophthalmos,http://www.sciencedirect.com/science/article/pii/0002939463902009/pdfft?md5=8e41c1ca6176194c12c98a0c7e58ab29&pid=1-s2.0-0002939463902009-main.pdf,10.1016/0002-9394(63)90200-9,6/30/63,American Journal of Ophthalmology,Reese W. Patterson & Ray V. DePue,,Blunt trauma,Sodium,25295
206,Comparison of two surgical techniques for mastectomy of goats,http://www.sciencedirect.com/science/article/pii/S0921448801001730/pdfft?md5=461623a29c1fe6f2f01562b54e884e6d&pid=1-s2.0-S0921448801001730-main.pdf,10.1016/S0921-4488(01)00173-0,6/30/01,Small Ruminant Research,Hussein M. El-Maghraby,Research article,Hemorrhagic shock,Lactate,187755
207,Increased Gastrointestinal Permeability and Gut Inflammation in Children with Functional Abdominal Pain and Irritable Bowel Syndrome,http://www.sciencedirect.com/science/article/pii/S0022347608003703/pdfft?md5=cfbd8bab59f3a2530f0bb7e4fbe9c96d&pid=1-s2.0-S0022347608003703-main.pdf,10.1016/j.jpeds.2008.04.062,11/30/08,The Journal of Pediatrics,Robert J. Shulman & Michelle N. Eakin & Danita I. Czyzewski & Monica Jarrett & Ching-Nan Ou,Research article,Blood loss,Neutrophils,20503
208,Influence of the Type of Thoracic Access on Postesophagectomy Respiratory Complications,http://www.sciencedirect.com/science/article/pii/S2173507713003207/pdfft?md5=43b8e0bc900a4e334289c764b34f7d60&pid=1-s2.0-S2173507713003207-main.pdf,10.1016/j.cireng.2013.12.004,11/30/13,CirugÃ_a EspaÃ±ola (English Edition),Sorin Niky Mocanu & M. Carmen BalaguÃ© Ponz & Eduardo Maria Targarona Soler & Marta Roque Figuls & Manel Trias Folch,Research article,Blood loss,Neutrophils,19809
209,Possible effects of anaesthetic management on the 1 yr followed-up risk of herpes zoster after Caesarean deliveries,http://www.sciencedirect.com/science/article/pii/S0007091217324856/pdfft?md5=91ad86efdb61932adbcb8c83582f05d8&pid=1-s2.0-S0007091217324856-main.pdf,10.1093/bja/aer386,2/29/12,British Journal of Anaesthesia,Y. -H. Chen & R. -H. Rau & J. J. Keller & H. -C. Lin,Research article,Blood loss,Neutrophils,20236
210,Death in the emergency room: Beijing China,http://www.sciencedirect.com/science/article/pii/0300957286901036/pdfft?md5=202529422e7bfb31115d73b54dadd10b&pid=1-s2.0-0300957286901036-main.pdf,10.1016/0300-9572(86)90103-6,4/30/86,Resuscitation,Pei-Jan Wang & Cheng-Zhi Wang,Short communication,Hemorrhagic shock,Diagnosis,32970
211,Assisted circulation: The pressure pulse generator,http://www.sciencedirect.com/science/article/pii/S0022522319331332/pdfft?md5=2a1a2ae0b1cdb4149094923c3f11e2e6&pid=1-s2.0-S0022522319331332-main.pdf,10.1016/S0022-5223(19)33133-2,12/31/65,The Journal of Thoracic and Cardiovascular Surgery,Phillip B. Callaghan & M. Gaines Chesnut & David H. Watkins,Research article,Hemorrhagic shock,Parameters,309223
212,Table of Contents,http://www.sciencedirect.com/science/article/pii/S1047279707004073/pdfft?md5=2f1ae48174ade3747fb3ee0ff697ea3f&pid=1-s2.0-S1047279707004073-main.pdf,10.1016/S1047-2797(07)00407-3,11/30/07,Annals of Epidemiology,CANNOT GET ACCESS,,Blunt trauma,Testing,105815
213,Exercise and gastrointestinal function and disease: an evidence-based review of risks and benefits,http://www.sciencedirect.com/science/article/pii/S1542356503001782/pdfft?md5=846ee0f6b5b967b92526ad8b63e908dd&pid=1-s2.0-S1542356503001782-main.pdf,10.1053/S1542-3565(03)00178-2,9/30/03,Clinical Gastroenterology and Hepatology,Luke Bi & George Triadafilopoulos,Research article,Blood loss,Neutrophils,22113
214,Laparotomy for the staging of Hodgkin's disease in children,http://www.sciencedirect.com/science/article/pii/0022346872902060/pdfft?md5=9bc5832257cf7093c8844cd005725061&pid=1-s2.0-0022346872902060-main.pdf,10.1016/0022-3468(72)90206-0,11/30/72,Journal of Pediatric Surgery,Daniel M. Hays & Robert E. Hittle & Hart Isaacs & Myron R. Karon,Research article,Disseminated intravascular coagulation,Lymphocytes,122842
215,Developments in colorectal cancer surgery,http://www.sciencedirect.com/science/article/pii/095980499500250M/pdfft?md5=f9d01e132ca6ceba63fccfe5a36237a3&pid=1-s2.0-095980499500250M-main.pdf,10.1016/0959-8049(95)00250-M,8/31/95,European Journal of Cancer,J Jeekel,Research article,Blood loss,Neutrophils,20953
216,Wilderness mortalities: A 13-year experience,http://www.sciencedirect.com/science/article/pii/S0196064401087753/pdfft?md5=d20e5598a2634342243d5f84202f1ca0&pid=1-s2.0-S0196064401087753-main.pdf,10.1067/mem.2001.112256,3/31/01,Annals of Emergency Medicine,Torrey Goodman & Kenneth V. Iserson & Hal Strich,Research article,Blunt trauma,Testing,105966
217,Management of atypical epicapsular star,http://www.sciencedirect.com/science/article/pii/S0886335000007057/pdfft?md5=71dc9805812c64cd87605db079a09d22&pid=1-s2.0-S0886335000007057-main.pdf,10.1016/S0886-3350(00)00705-7,3/31/01,Journal of Cataract & Refractive Surgery,Surbhit Choudhry & Srinivas K Rao & Saurabh Choudhry,Short communication,Blunt trauma,Sodium,24430
218,Non-vehicular accidents among teenagers â€” The 5-year Metro Dade County experience from 1979 to 1983,http://www.sciencedirect.com/science/article/pii/0379073885901410/pdfft?md5=3ca3de7c981263348f87d26c713de363&pid=1-s2.0-0379073885901410-main.pdf,10.1016/0379-0738(85)90141-0,4/30/85,Forensic Science International,Arthur R. Copeland,Research article,Blunt trauma,Risk factors,11657
219,Hunting-related injuries and deaths in Montana: the scope of the problem and a framework for prevention,http://www.sciencedirect.com/science/article/pii/S0953985993711754/pdfft?md5=8e20165ff3d531f8ff0333068d5d27fb&pid=1-s2.0-S0953985993711754-main.pdf,10.1580/0953-9859-4.2.175,5/31/93,Journal of Wilderness Medicine,C. J. Lambrecht & S. W. Hargarten,Research article,Blunt trauma,Temperature,132023
220,Ruptured uterus,http://www.sciencedirect.com/science/article/pii/002072929190536E/pdfft?md5=2875991813527f0f0b1d8750e09cf51f&pid=1-s2.0-002072929190536E-main.pdf,10.1016/0020-7292(91)90536-E,1/31/91,International Journal of Gynecology & Obstetrics,S. Kafkas & C. E. Taner,Research article,Hemorrhagic shock,Lactate,188357
221,<ce:markerÂ name=ceÂ alt=Continuing EducationÂ altimg-small=ce_s.gifÂ altimg=ce_o.gif></ce:marker>Clinical Issuesâ€”May 2013,http://www.sciencedirect.com/science/article/pii/S0001209213002202/pdfft?md5=de8c40d6307e8f3567ec3c7b3befd5e8&pid=1-s2.0-S0001209213002202-main.pdf,10.1016/j.aorn.2013.02.008,5/31/13,AORN Journal,Amber Wood & Sharon A. Van Wicklin,Short communication,Blunt trauma,Temperature,131378
222,Issues complicating the implementation of postexposure prophylaxis,http://www.sciencedirect.com/science/article/pii/S0002934397000703/pdfft?md5=d67c4dfdacffdfe79aab4ea84a859a6b&pid=1-s2.0-S0002934397000703-main.pdf,10.1016/S0002-9343(97)00070-3,5/19/97,The American Journal of Medicine,Paul B. L'Ecuyer & Victoria J. Fraser,Research article,Blunt trauma,Testing,107303
223,OR Fact and Principle,http://www.sciencedirect.com/science/article/pii/S0001209208701261/pdfft?md5=e7ffb30f0a92485eead805c6f53b8499&pid=1-s2.0-S0001209208701261-main.pdf,10.1016/S0001-2092(08)70126-1,6/30/68,AORN Journal,Lucy Jo Atkinson,,Hemorrhagic shock,Diagnosis,34620
224,Live attenuated varicella vaccine,http://www.sciencedirect.com/science/article/pii/0045938087900156/pdfft?md5=24426f705a194ba9c48204127ca9074d&pid=1-s2.0-0045938087900156-main.pdf,10.1016/0045-9380(87)90015-6,5/31/87,Current Problems in Pediatrics,Anne A. Gershon,Research article,Disseminated intravascular coagulation,Marker,184005
225,Outcome and complications of intraocular lenses in children with cataract,http://www.sciencedirect.com/science/article/pii/S0886335096803129/pdfft?md5=235346606b778707552bbdf0a184ab51&pid=1-s2.0-S0886335096803129-main.pdf,10.1016/S0886-3350(96)80312-9,8/31/96,Journal of Cataract & Refractive Surgery,D. Knight-Nanan & M. O'Keefe & R. Bowell,Research article,Blunt trauma,Ultrasound,156889
226,"Multidrug-resistant strains of <ce:italic>Salmonella enterica</ce:italic> serotype <ce:italic>typhi</ce:italic> are genetically homogenous and coexist with antibiotic-sensitive strains as distinct, independent clones",http://www.sciencedirect.com/science/article/pii/S1201971200901085/pdfft?md5=37a1c0928cb3355ac99f7f4fe16858ee&pid=1-s2.0-S1201971200901085-main.pdf,10.1016/S1201-9712(00)90108-5,12/31/00,International Journal of Infectious Diseases,Kwai-Lin Thong & Zulfiqar A. Bhutta & Tikki Pang,Research article,Disseminated intravascular coagulation,Marker,181008
227,"Evoked potentials to evaluate brain function in comatose patients following cardiac arrest and resuscitation : Kano, T., Yagishita, Y., Awata, M., Hayashida, Y. Surgical Center, Kumamoto University Hospital, Kumamoto 860, Japan JPN. J. ANESTHESIOL., 36(4) (1987) 481â€“489",http://www.sciencedirect.com/science/article/pii/0300957288900603/pdfft?md5=a090fcf91d668023f3c6b1ee5b4f36da&pid=1-s2.0-0300957288900603-main.pdf,10.1016/0300-9572(88)90060-3,7/31/88,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Pathologic,317102
228,Butafenacil: A positive control for identifying anemia- and variegate porphyria-inducing chemicals,http://www.sciencedirect.com/science/article/pii/S2214750015300263/pdfft?md5=6514ce5de6fc9c14b8e45565e532de5d&pid=1-s2.0-S2214750015300263-main.pdf,10.1016/j.toxrep.2015.07.006,12/31/15,Toxicology Reports,Jessica K. Leet & Rachel A. Hipszer & David C. Volz,Research article,Blood loss,Neutrophils,20457
229,Occurrence and spread of antibiotic resistances in <ce:italic>Enterococcus faecium</ce:italic>,http://www.sciencedirect.com/science/article/pii/S0168160503001909/pdfft?md5=768f2efc9baa197763c891120694038e&pid=1-s2.0-S0168160503001909-main.pdf,10.1016/S0168-1605(03)00190-9,12/1/03,International Journal of Food Microbiology,Ingo Klare & Carola Konstabel & Dietlinde BadstÃ_bner & Guido Werner & Wolfgang Witte,Review article,Hemorrhagic shock,Pathogenic,312591
230,Results and Complications in Treated Retinal Breaks,http://www.sciencedirect.com/science/article/pii/S0002939414772678/pdfft?md5=7faf37963c05a40f1cc1276c2f804942&pid=1-s2.0-S0002939414772678-main.pdf,10.1016/S0002-9394(14)77267-8,12/31/91,American Journal of Ophthalmology,William E. Smiddy & Harry W. Flynn & Don H. Nicholson & John G. Clarkson & William Feuer,Research article,Blunt trauma,Risk factors,12265
231,Puerperal hemiplegia: Case report and review of primary puerperal cerebral venous thrombosis,http://www.sciencedirect.com/science/article/pii/0002937862902867/pdfft?md5=ff3469d2056a5d0ff3f9f52365478dae&pid=1-s2.0-0002937862902867-main.pdf,10.1016/0002-9378(62)90286-7,1/1/62,American Journal of Obstetrics and Gynecology,Sheldon M. Biback & Abby Franklin & William K. Sata,Research article,Blood loss,Neutrophils,23070
232,Pediatric Drug Trials,http://www.sciencedirect.com/science/article/pii/S1555415510000863/pdfft?md5=ce8c37d2bc511edbd8eb1d3c945feeb9&pid=1-s2.0-S1555415510000863-main.pdf,10.1016/j.nurpra.2010.02.017,4/30/10,The Journal for Nurse Practitioners,Maren S. Mayhew,Short communication,Disseminated intravascular coagulation,Lactate,148078
233,Refractive lensectomy to correct ametropia,http://www.sciencedirect.com/science/article/pii/S0886335099000899/pdfft?md5=91af722371fa4a3ac93cddc5c7394434&pid=1-s2.0-S0886335099000899-main.pdf,10.1016/S0886-3350(99)00089-9,7/31/99,Journal of Cataract & Refractive Surgery,Diane Vicary & Xiao-Yi Sun & Peter Montgomery,Research article,Blunt trauma,Risk factors,11690
234,Peripheral regional techniques for acute pain treatment,http://www.sciencedirect.com/science/article/pii/S1472029906700340/pdfft?md5=c60587b03173764a9bc4589ec5029ece&pid=1-s2.0-S1472029906700340-main.pdf,10.1383/anes.6.1.20.57141,1/1/05,Anaesthesia & Intensive Care Medicine,Stephan A Schug & Simon A Jackson,Research article,Blunt trauma,Ultrasound,156278
235,Subject index volume 10 (1982/1983),http://www.sciencedirect.com/science/article/pii/0300957283900345/pdfft?md5=53d5b80876f62dc1ee35932bdb76d2fc&pid=1-s2.0-0300957283900345-main.pdf,10.1016/0300-9572(83)90034-5,8/31/83,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Parameters,307760
236,Controlled correction of diplopia and eye muscle imbalance in orbital and zygomatic fractures,http://www.sciencedirect.com/science/article/pii/0002961058909905/pdfft?md5=ee8a9d4032d2c67ab2309ac4500abdc5&pid=1-s2.0-0002961058909905-main.pdf,10.1016/0002-9610(58)90990-5,12/31/58,The American Journal of Surgery,Rudolph H. Pelzer & William J. Garvin,Research article,Hemorrhagic shock,Diagnosis,34485
237,How to prevent and manage biliary complications in living donor liver transplantation?,http://www.sciencedirect.com/science/article/pii/S0168827805002928/pdfft?md5=60613bceb90d7e5b713a3ad1bc3bf01b&pid=1-s2.0-S0168827805002928-main.pdf,10.1016/j.jhep.2005.05.004,7/31/05,Journal of Hepatology,Satoru Todo & Hiroyuki Furukawa & Toshiya Kamiyama,Review article,Blunt trauma,Risk factors,11267
238,Detection by the Polymerase Chain Reaction of <ce:italic>Anaplasma Phagocytophilum</ce:italic> in Tissues of Persistently Infected Sheep,http://www.sciencedirect.com/science/article/pii/S0021997505000745/pdfft?md5=70bfae1cec86dd72f71549ad4bae2d60&pid=1-s2.0-S0021997505000745-main.pdf,10.1016/j.jcpa.2005.06.006,1/31/06,Journal of Comparative Pathology,S. Stuen & A. N. J. Casey & Z. Woldehiwet & N. P. French & N. H. Ogden,Short communication,Blood loss,Neutrophils,17638
239,Acute Aortic Valve Thrombosis Secondary to Recombinant Factor VIIa,http://www.sciencedirect.com/science/article/pii/S0003497511020649/pdfft?md5=dccc55939d59c722838ef1082190a76b&pid=1-s2.0-S0003497511020649-main.pdf,10.1016/j.athoracsur.2011.08.050,3/31/12,The Annals of Thoracic Surgery,Jamil Hajj-Chahine & Christophe Jayle & Jacques Tomasi & Hassan Houmaida & Pierre Corbi,Short communication,Disseminated intravascular coagulation,(NO),253203
240,Developments in Cardiopulmonary Bypass Surgeryâ€”11:00 am-12:30 pm,http://www.sciencedirect.com/science/article/pii/S0012369215467157/pdfft?md5=d9adee912c3e3b667691cdbb608274d8&pid=1-s2.0-S0012369215467157-main.pdf,10.1378/chest.110.4_Supplement.8S,10/31/96,Chest,CANNOT GET ACCESS,,Blood loss,Neutrophils,19197
241,Reanimation of the middle and lower face in facial paralysis: Review of the literature and personal approach,http://www.sciencedirect.com/science/article/pii/S1748681510002275/pdfft?md5=a4251ce00cd602c4d03d345bb6d90862&pid=1-s2.0-S1748681510002275-main.pdf,10.1016/j.bjps.2010.04.008,4/30/11,"Journal of Plastic, Reconstructive & Aesthetic Surgery",Shadi Ghali & Anthony MacQuillan & Adriaan O. Grobbelaar,Review article,Blunt trauma,Risk factors,11981
242,Spiked metallic washer and screw for reattachment of the Achilles tendon after repair of a distal rupture,http://www.sciencedirect.com/science/article/pii/S1067251600800642/pdfft?md5=36a7ede92baaa837d43ae4e1f94333a3&pid=1-s2.0-S1067251600800642-main.pdf,10.1016/S1067-2516(00)80064-2,2/29/00,The Journal of Foot and Ankle Surgery,Leonard Janis & Eric Massa,Research article,Blunt trauma,Ultrasound,156519
243,A study of one hundred consecutive cases of ectopic pregnancy,http://www.sciencedirect.com/science/article/pii/S0002937837905167/pdfft?md5=e619a76ab875821bf7db76f107a1aecd&pid=1-s2.0-S0002937837905167-main.pdf,10.1016/S0002-9378(37)90516-7,7/31/37,American Journal of Obstetrics and Gynecology,R. M. Grier,Short communication,Hemorrhagic shock,Pathologic,318574
244,Table of Contents,http://www.sciencedirect.com/science/article/pii/S009042951500672X/pdfft?md5=8d6605b420159350b12fcfee1330a45f&pid=1-s2.0-S009042951500672X-main.pdf,10.1016/S0090-4295(15)00672-X,8/31/15,Urology,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Imaging,38832
245,Activation of blood clotting factors by microbial proteinases,http://www.sciencedirect.com/science/article/pii/0378109794903123/pdfft?md5=f662cf44cf2471cc3ee203de552f3a23&pid=1-s2.0-0378109794903123-main.pdf,CANNOT GET ACCESS,9/1/94,FEMS Microbiology Letters,Hidenori Kaminishi & Hisako Hamatake & Tamaki Cho & Tamio Tamaki & Hiroshi Maeda,Research article,Disseminated intravascular coagulation,Immunoglobulins,56380
246,Cataract secondary to electrical shock from a Taser gun,http://www.sciencedirect.com/science/article/pii/S0886335007009005/pdfft?md5=c3c73f35b806b56c0c0f149fb71af0eb&pid=1-s2.0-S0886335007009005-main.pdf,10.1016/j.jcrs.2007.04.037,9/30/07,Journal of Cataract & Refractive Surgery,Rajeev K. Seth & Gelareh Abedi & Armand J. Daccache & James C. Tsai,Short communication,Blunt trauma,Ultrasound,153091
247,Epidermal clitoral inclusion cyst after type I female genital mutilation,http://www.sciencedirect.com/science/article/pii/S0002937801631740/pdfft?md5=8ebf6a63c661e2ecde33c6e3c764e0c4&pid=1-s2.0-S0002937801631740-main.pdf,10.1067/mob.2001.117660,9/30/01,American Journal of Obstetrics and Gynecology,Abdulrahim A. Rouzi & Othman Sindi & Bandar Radhan & Hassan Baâ€™aqeel,Research article,Hemorrhagic shock,Pathologic,316486
248,<ce:markerÂ name=cmeÂ alt=Continuing Medical EducationÂ altimg-small=cme_s.gifÂ altimg=cme_o.gif></ce:marker>Posttraumatic Disease of the Palmar Fascia,http://www.sciencedirect.com/science/article/pii/S0363502314008983/pdfft?md5=0713a20753cb7a76b8cb641b151199e3&pid=1-s2.0-S0363502314008983-main.pdf,10.1016/j.jhsa.2014.06.127,10/31/14,The Journal of Hand Surgery,Iain Findlay & Ramon Tahmassebi,Review article,Blunt trauma,Testing,105825
249,Rupture of pregnancy in a communicating rudimentary uterine horn after in vitro fertilization and embryo transfer,http://www.sciencedirect.com/science/article/pii/S0020729204001882/pdfft?md5=2d295a70abecc297f521308360b8ed4d&pid=1-s2.0-S0020729204001882-main.pdf,10.1016/j.ijgo.2004.04.043,9/30/04,International Journal of Gynecology & Obstetrics,R. Tang & Y. Sheng & Z. J. Chen,Short communication,Hemorrhagic shock,Diagnosis,30676
250,A STUDY OF DOMESTIC ACCIDENTS (DA) IN AN AIRFORCE COMMUNITY,http://www.sciencedirect.com/science/article/pii/S0377123717305476/pdfft?md5=62c44aafea156210300ac87e0f6f7deb&pid=1-s2.0-S0377123717305476-main.pdf,10.1016/S0377-1237(17)30547-6,7/31/98,Medical Journal Armed Forces India,J MUKHOPADHYA,Research article,Blunt trauma,Risk factors,11491
251,The impact of tourism and personal leisure transport on coastal environments: A review,http://www.sciencedirect.com/science/article/pii/S0272771405003999/pdfft?md5=0c528785141592e9e38497ea6a262dc1&pid=1-s2.0-S0272771405003999-main.pdf,10.1016/j.ecss.2005.11.026,3/31/06,"Estuarine, Coastal and Shelf Science",John Davenport & Julia L. Davenport,Research article,Blunt trauma,Temperature,132527
252,Maternal mortality in patients admitted to an intensive care unit in Jamaica,http://www.sciencedirect.com/science/article/pii/S0020729208005778/pdfft?md5=a7283dc7769dec7662257e0deeea367e&pid=1-s2.0-S0020729208005778-main.pdf,10.1016/j.ijgo.2008.12.007,5/31/09,International Journal of Gynecology & Obstetrics,Marinna Scarlett & Melody-Ann Isaacs & Sherifa Fredrick-Johnston & Santosh Kulkarni & Horace Fletcher,Short communication,Hemorrhagic shock,(NO),232647
253,The issue of reinfibulation,http://www.sciencedirect.com/science/article/pii/S002072921000010X/pdfft?md5=e468a1e536dd4eebfac818b256c1d2ae&pid=1-s2.0-S002072921000010X-main.pdf,10.1016/j.ijgo.2010.01.001,5/31/10,International Journal of Gynecology & Obstetrics,Gamal I. Serour,Research article,Hemorrhagic shock,(NO),232335
254,Index to volume 59,http://www.sciencedirect.com/science/article/pii/S0022522319424161/pdfft?md5=14a74378875512081aaf3c362aaaa6b1&pid=1-s2.0-S0022522319424161-main.pdf,10.1016/S0022-5223(19)42416-1,6/30/70,The Journal of Thoracic and Cardiovascular Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,Lactate,189452
255,The significance of coronary artery disease in aortic valve replacement,http://www.sciencedirect.com/science/article/pii/S0022522319428948/pdfft?md5=3dd4b94c4a4cfc632d4b932bceccd348&pid=1-s2.0-S0022522319428948-main.pdf,10.1016/S0022-5223(19)42894-8,6/30/68,The Journal of Thoracic and Cardiovascular Surgery,Joseph W. Linhart & Angel de la Torre & Howard W. Ramsey & Myron W. Wheat,Research article,Blood loss,(MODS),3667
256,Experience with total pancreatectomy,http://www.sciencedirect.com/science/article/pii/0002961080903542/pdfft?md5=fe85beb966e513953b286b63ce38bb18&pid=1-s2.0-0002961080903542-main.pdf,10.1016/0002-9610(80)90354-2,5/31/80,The American Journal of Surgery,Donald B. McConnell & Truman M. Sasaki & William Garnjobst & R. Mark Vetto,Research article,Blunt trauma,Risk factors,12522
257,Pediatric treadmill injuries: a public health issue,http://www.sciencedirect.com/science/article/pii/S0022346807005945/pdfft?md5=417f8864756a06a52edb241cc962a3c2&pid=1-s2.0-S0022346807005945-main.pdf,10.1016/j.jpedsurg.2007.08.031,12/31/07,Journal of Pediatric Surgery,April Wong & Deborah Maze & Eric La Hei & Niall Jefferson & Susan Adams,Research article,Blunt trauma,Testing,106437
258,An unusual suicide with a safety razor bladeâ€”a case report,http://www.sciencedirect.com/science/article/pii/S0379073804000544/pdfft?md5=d0d0ff802338b5aaf092e44c2c5d18e4&pid=1-s2.0-S0379073804000544-main.pdf,10.1016/j.forsciint.2003.12.020,5/28/04,Forensic Science International,Ravi Rautji & C Behera & P Kulshrestha & A Agnihotri & T. D Dogra,Research article,Hemorrhagic shock,(NO),233015
259,Endoscopic management of duodenal diverticular bleeding,http://www.sciencedirect.com/science/article/pii/S0016510707022997/pdfft?md5=51a2dcb1d7fe3e8180f64459bc4f8029&pid=1-s2.0-S0016510707022997-main.pdf,10.1016/j.gie.2007.07.014,11/30/07,Gastrointestinal Endoscopy,Yasuhiro Onozato & Satoru Kakizaki & Hiroshi Ishihara & Haruhisa Iizuka & Hideaki Itoh,Research article,Hemorrhagic shock,Pathologic,316607
260,A Case of Dissecting Aneurysm of the Superior Mesenteric Artery due to Ehlers Danlos Type IV,http://www.sciencedirect.com/science/article/pii/S1533316710000129/pdfft?md5=8fa41018b0e696770aac513b8c0e3bca&pid=1-s2.0-S1533316710000129-main.pdf,10.1016/j.ejvsextra.2010.03.002,6/30/10,EJVES Extra,G. Nourissat & M. A. Lortie & P. A. Langis & F. CÃ´tÃ© & Y. M. Dion,Short communication,Hemorrhagic shock,(NO),231197
261,Rupture dâ€™anÃ©vrisme de lâ€™artÃ¨re hÃ©patique aprÃ¨s une gastrectomie,http://www.sciencedirect.com/science/article/pii/S0750765807005874/pdfft?md5=fa74a6f6a359efcb20c6c120c9890ff2&pid=1-s2.0-S0750765807005874-main.pdf,10.1016/j.annfar.2007.10.035,2/29/08,Annales FranÃ§aises d'AnesthÃ©sie et de RÃ©animation,J. Emptoz & M. Chambost & C. Combe,Short communication,Hemorrhagic shock,Imaging,139900
262,Featured Articles,http://www.sciencedirect.com/science/article/pii/S0022480419307863/pdfft?md5=590456ab01096f54ce73d81df5e7fb1b&pid=1-s2.0-S0022480419307863-main.pdf,10.1016/S0022-4804(19)30786-3,2/29/20,Journal of Surgical Research,CANNOT GET ACCESS,,Hemorrhagic shock,(NO),230559
263,"Varicella Zoster Virus Serostatus Before and After Kidney Transplantation, and Vaccination of Adult Kidney Transplant Candidates",http://www.sciencedirect.com/science/article/pii/S0041134506013194/pdfft?md5=37b443d07b2b10e57ee5ddb05ad18dad&pid=1-s2.0-S0041134506013194-main.pdf,10.1016/j.transproceed.2006.10.090,12/31/06,Transplantation Proceedings,A. L. Geel & T. S. Landman & J. A. Kal & G. J. van Doomum & W. Weimar,Research article,Disseminated intravascular coagulation,(NO),254309
264,"Toward the development of chemoprevention agents. Part II: Chemo-enzymatic synthesis and anti-inflammatory activities of a new class of 5-amino-2-substitutedphenyl-1,3-dioxacycloalkanes",http://www.sciencedirect.com/science/article/pii/S096808960700541X/pdfft?md5=53d3956b9b6e8928dbb26d75d54310bd&pid=1-s2.0-S096808960700541X-main.pdf,10.1016/j.bmc.2007.06.018,9/15/07,Bioorganic & Medicinal Chemistry,Keli Gu & Lanrong Bi & Ming Zhao & Chao Wang & Shiqi Peng,Research article,Blood loss,Neutrophils,22958
265,Frey's syndrome following fracture of the mandibular condyle: case report and literature review,http://www.sciencedirect.com/science/article/pii/0020138396000101/pdfft?md5=8fca05279dd908569de3e21b069d3f86&pid=1-s2.0-0020138396000101-main.pdf,10.1016/0020-1383(96)00010-1,6/30/96,Injury,T. K. Mellor & R. J. Shaw,Research article,Blunt trauma,Testing,107098
